var_name,Total,sdTotal,Md,tB,tC,tD,tE,pvAB,pvAC,pvAD,pvAE
"malelabel",.2835249,.4515748,0,,,,,,,,
"age_managerlabel",45.22308,10.89668,45,,,,,,,,
"educlabel",9.099617,3.736211,9,,,,,,,,
"kids_3label",.4022988,.4913037,0,,,,,,,,
"digitspan_totallabel",1.703065,.8676617,1.5,,,,,,,,
"risk_complabel",3.738186,2.097005,3.666667,,,,,,,,
"time_complabel",5.187739,2.249236,5.333333,,,,,,,,
"MW_M_score_totallabel",.1583653,.1934705,.1666667,,,,,,,,
"MW_B_score_totallabel",.467433,.2855184,.3333333,,,,,,,,
"MW_R_score_totallabel",.4757344,.1878209,.4444444,,,,,,,,
"MW_F_score_totallabel",.2260536,.1864428,.25,,,,,,,,
"cogstyle_rel_perclabel",.3349425,.0433911,.34,,,,,,,,
"asp_cselabel",4.918651,.8633354,5,,,,,,,,
"shop_house_seplabel",.2605364,.4397706,0,,,,,,,,
"loan_outstandinglabel",.183908,.3881535,0,,,,,,,,
"imagine_faillabel",.1340996,.341414,0,,,,,,,,
"asp_yrs_faillabel",.2681992,.443873,0,,,,,,,,
"startrec_nextyrlabel",.5172414,.5006627,1,,,,,,,,
"newbranch_nextyrlabel",.3754789,.4851767,0,,,,,,,,
"bisplan_nextyrlabel",.6245211,.4851767,1,,,,,,,,
"prods_new_1label",.4827586,.5006627,0,,,,,,,,
"age_firmlabel",12.75862,11.20402,8,,,,,,,,
"formal_taxlabel",.1992337,.4001915,0,,,,,,,,
"sizelabel",12.66667,10.68644,9,,,,,,,,
"labour_totallabel",2.02682,1.281244,2,,,,,,,,
"labour_nonfam_fulllabel",.0283401,.2095448,0,,,,,,,,
"custom_totallabel",45.77394,31.29891,40,,,,,,,,
"prof_estlabel",806.9589,4447.294,248.6307,,,,,,,,
"prof_est_w1label",578.8267,2560.102,248.6307,,,,,,,,
"prof_est_w2label",532.0764,2021.565,248.6307,,,,,,,,
"sales_lastmthlabel",5077.371,7606.684,2961.354,,,,,,,,
"sales_lastmth_w1label",4875.513,6212.844,2961.354,,,,,,,,
"sales_lastmth_w2label",4722.433,5563.416,2961.354,,,,,,,,
"sales_ndaylabel",206.1419,271.3704,123.3898,,,,,,,,
"sales_nday_w1label",203.3549,250.5007,123.3898,,,,,,,,
"sales_nday_w2label",195.7324,214.4213,123.3898,,,,,,,,
"asp12_shop_zlabel",-.0780203,.488822,-.1804497,,,,,,,,
"asp12_saleslabel",443.2371,504.5815,246.7795,,,,,,,,
"asp12_sales_w1label",441.8788,495.6633,246.7795,,,,,,,,
"asp12_sizelabel",14.19157,10.35939,12,,,,,,,,
"asp12_employeelabel",1.651341,1.254641,1,,,,,,,,
"asp12_customerlabel",51.17625,48.55251,40,,,,,,,,
"asp_shop_zlabel",-.0655918,.5284501,-.1331058,,,,,,,,
"asp_sizelabel",22,18.47826,16,,,,,,,,
"asp_employeelabel",2.011494,1.407351,2,,,,,,,,
"asp_customerlabel",66.49809,67.92579,50,,,,,,,,
"asp_yrslabel",2.86911,2.548196,2,,,,,,,,
"aspgap12_saleslabel",1.631004,1.408631,1,,,,,,,,
"aspgap12_sizelabel",.193206,.5499704,0,,,,,,,,
"aspgap12_employeelabel",.1554704,1.24401,0,,,,,,,,
"aspgap12_customerlabel",.1851335,.8325607,-.0740741,,,,,,,,
"aspgap_sizelabel",.9343488,1.287074,.5,,,,,,,,
"aspgap_employeelabel",.3811622,1.288534,0,,,,,,,,
"aspgap_customerlabel",.5548285,1.13941,.25,,,,,,,,
"asp_educ_sonlabel",17.01,3.099348,16,,,,,,,,
"asp_educ_son_malabel",.31,.4648232,0,,,,,,,,
"asp_educ_dtrlabel",16.79798,2.575314,16,,,,,,,,
"asp_educ_dtr_malabel",.2929293,.4574223,0,,,,,,,,
"asp_educ_kidslabel",16.94193,2.72968,16,,,,,,,,
"asp_educ_kids_malabel",.3225806,.4689791,0,,,,,,,,
